,Price
0,3897
1,7662
2,13882
3,6218
4,13302
5,3873
6,11087
9,8625
10,8907
11,4174
12,4667
13,9663
14,4804
16,5830
17,10262
18,13381
19,12898
21,6955
22,3943
23,4823
24,7757
25,13292
26,8238
27,7682
28,4668
29,3687
30,3687
31,13227
32,4423
33,10919
34,12373
35,5894
36,4649
37,6245
39,14924
40,9646
41,8714
42,12373
43,3383
44,13062
45,3527
46,3943
47,4667
48,6117
49,11150
50,7202
52,4377
53,3943
54,4483
55,14231
57,7414
58,8073
60,8366
62,12524
63,7191
64,3687
65,5894
66,5403
67,3625
68,10861
69,6297
70,5678
72,10791
73,12819
74,6893
75,7240
76,3898
77,4049
78,10262
79,3332
80,10844
81,7229
82,13941
83,5894
84,10197
85,13712
86,5636
87,13014
88,7064
89,10703
90,9646
92,13817
93,13748
94,4880
95,3540
96,3257
97,6478
98,8040
99,14300
100,14781
101,14939
102,10262
103,6528
104,6121
105,13029
106,11421
107,7574
109,15129
110,13555
111,5780
112,9397
114,5281
115,10348
116,12677
117,15147
118,4668
119,15554
120,3971
121,3100
122,9663
124,3540
125,10676
126,13044
127,14388
128,3943
129,3597
130,5932
131,10262
132,6216
133,4804
134,14067
135,15129
136,13376
137,10441
138,4030
140,13017
141,6686
142,5636
143,6442
144,9486
146,15318
147,5117
148,6147
149,7005
150,3873
151,9270
152,3898
153,14781
154,8586
155,10697
156,14300
157,8855
161,4777
163,6442
164,5264
165,12898
166,6092
167,3311
168,6540
169,3419
170,5177
171,8246
172,14676
173,13587
174,9663
175,13044
176,5073
178,9663
179,14277
180,10262
181,5678
182,13727
183,9663
184,3858
185,4812
186,5775
187,10539
188,4804
189,3383
190,8738
192,6412
193,8016
194,11087
195,3543
196,12471
197,10262
198,4441
199,12537
200,10091
201,6961
202,5013
203,6934
204,10877
205,7229
206,7048
207,4878
208,10844
210,3943
211,5583
212,9646
213,7677
214,6842
215,4995
216,9555
217,4077
218,7229
219,12192
220,5911
221,8372
222,4995
223,14323
224,13014
227,3943
228,1965
229,4995
231,4460
232,10191
233,13843
234,6349
235,4409
237,13727
238,8855
239,12524
240,13555
241,10844
242,13587
243,3543
244,4842
245,3943
246,10577
247,6979
248,11982
249,5264
250,8001
251,10651
253,6601
254,6587
255,3173
256,5228
257,5769
258,14714
259,13014
260,3359
261,6722
262,4462
263,6171
264,12303
265,7695
266,5684
267,8366
269,13502
270,14781
271,6513
272,9929
